quadrat,dist_to_path
K1,6.0158732728
K2,15.449469982
K3,21.9198998803
N1,16.5843769891
O1,10.425526421
P1,1.8466841207
Q1,13.7585775541
R1,28.911144661
S1,45.0979406241
T1,61.7765020707
L1,11.6771925313
L2,2.3980052324
M2,2.6447294407
N2,2.6907934505
O2,8.5580660181
P2,15.5687644674
Q2,26.018687281
R2,41.2019838379
S2,57.1952294777
T2,72.6968933001
M1,29.231591584
L3,21.0697905907
M3,16.7150068124
N3,21.9659638902
O3,27.578563021
P3,33.9071798194
Q3,42.7581535375
R3,54.158005821
S3,68.9483316174
T3,85.4794376701
K4,46.949276227
L4,39.9040020389
M4,36.5844227737
N4,41.2411343298
O4,46.6020007381
P4,52.8168872754
Q4,60.2495493054
R4,70.2502602199
S4,82.3966449632
T4,97.0051026467
K5,60.5683845252
L5,59.0315173383
M5,56.5459859463
N5,60.5163047695
O5,65.8518276607
P5,71.8018457424
Q5,78.3406378154
R5,87.4389383756
S5,98.1003988573
T5,110.6585948215
