quadrat	depth	pH	Al	Ca	Fe	K	Mg	Mn	Na	CEC	BS	pH.water	pH.CaCl2	resin.P	total.C	total.N	C.N	coarse.fragments	bulk.density	fine.roots
A1	0-10	3.71	5.73	0.15	0.08	0.17	0.10	0.02	0.05	6.30	7.5	3.99	3.51	3.1	2.4	0.16	14.6	0.2	1.0	404.8
A3	0-10	3.35	7.27	0.15	0.33	0.20	0.10	0.02	0.11	8.17	6.9	3.73	3.17	9.1	5.0	0.24	21.0	0.3	0.9	325.8
A5	0-10	3.7	4.00	0.12	0.12	0.12	0.07	0.01	0.04	4.48	7.7	3.89	3.42	5.1	2.4	0.15	15.9	0.3	1.1	345.5
B2	0-10	3.53	7.14	0.10	0.26	0.15	0.08	0.01	0.06	7.80	5.0	3.77	3.32	5.7	2.9	0.16	17.7	0.3	1.1	311.0
B4	0-10	3.69	5.18	0.31	0.17	0.23	0.13	0.03	0.06	6.11	11.9	3.9	3.45	6.1	2.6	0.16	16.5	1.0	1.3	271.5
C1	0-10		5.45	0.06	0.06	0.09	0.07	0.01	0.04	5.80	4.7	3.84	3.44	1.9	1.9	0.12	15.7	0.3	1.4	311.0
C3	0-10		5.36	0.19	0.12	0.12	0.11	0.01	0.04	5.95	7.7	3.88	3.36	4.1	3.0	0.15	19.8	1.1	1.3	246.8
C5	0-10		3.70	0.23	0.03	0.19	0.14	0.04	0.04	4.36	13.8	4.18	3.63	3.5	2.3	0.15	14.7	0.1	1.4	256.7
D2	0-10	3.46	7.41	0.06	0.30	0.13	0.09	0.01	0.09	8.08	4.6	3.79	3.24	5.5	3.9	0.21	18.5	0.1	0.9	1073.6
D4	0-10	3.83	4.61	0.02	0.07	0.05	0.05	0.00	0.05	4.85	3.4	3.98	3.55	1.6	1.6	0.12	14.2	0.2	1.4	202.4
E1	0-10	3.5	6.67	0.13	0.15	0.09	0.10	0.00	0.06	7.20	5.3	3.69	3.22	4.4	2.6	0.12	21.9	0.0	1.4	355.4
E3	0-10	3.55	5.84	0.03	0.15	0.10	0.09	0.01	0.03	6.27	4.2	3.77	3.33	5.2	3.0	0.18	16.9	0.1	1.0	481.3
E5	0-10	3.79	4.38	0.17	0.04	0.07	0.07	0.01	0.02	4.75	6.9	4.03	3.54	1.7	2.3	0.15	15.6	0.1	1.3	271.5
F1	0-10	3.45	5.06	0.10	0.19	0.11	0.09	0.01	0.05	5.60	6.1	3.8	3.24	5.9	3.7	0.19	19.8	0.4	0.9	992.2
F3	0-10	3.46	5.98	0.04	0.17	0.08	0.06	0.01	0.01	6.35	3.0	3.75	3.25	5.6	3.4	0.21	16.0	0.3	0.5	227.1
F5	0-10	3.77	4.33	0.08	0.05	0.12	0.11	0.01	0.02	4.72	7.0	4.02	3.55	2.9	2.1	0.15	13.9	1.2	1.3	236.9
G2	0-10	3.45	5.78	0.37	0.17	0.12	0.14	0.02	0.03	6.62	9.9	3.75	3.25	9.2	4.7	0.20	23.8	0.1	0.8	103.7
